job_key,job_title,salary_low,salary_high,is_remote,job_type,is_intern,salary_avg,role,seniority
job-0011b268f48bc6c2,Data Analytics Intern (Summer 2023 - Remote),40000,51000,Y,Internship,1,45500.0,analyst,unknown
job-0044953d92fa1cc7,Data Analyst,65000,75000,N,Full-time,0,70000.0,analyst,unknown
job-0072004f2d3180a4,Data Scientist (Remote),96000,220000,Y,Full-time (i),0,158000.0,scientist,unknown
job-00d80147a1b5d603,Data Scientist,106000,134000,N,Full-time (i),0,120000.0,scientist,unknown
job-01902d8707f063a4,Data Scientist I,74000,94000,Y,Full-time,0,84000.0,scientist,unknown
job-01acda57dd1ee035,Data Scientist,85000,108000,N,Full-time,0,96500.0,scientist,unknown
job-01bc99b11ef5cfb9,Data Scientist I,98000,124000,N,Full-time,0,111000.0,scientist,unknown
job-01f2291640f5921c,DATA ENGINEER: INFORMATICA,85000,108000,Y,Full-time,0,96500.0,engineer,unknown
job-01fc8bb546b86f0c,Data Engineer,90000,115000,N,Full-time,0,102500.0,engineer,unknown
job-02029f355417cfc6,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,117000,149000,N,Full-time,0,133000.0,engineer,unknown
job-0459faf946006dc9,Junior Data Scientist (Data science and AI),84000,107000,N,Full-time (i),0,95500.0,scientist,jr
job-046638552d4cb0ca,Junior Data Analyst,68000,86000,Y,Full-time (i),0,77000.0,analyst,jr
job-04d8daa933d28271,Sr. Digital Data Analyst – Remote,96330,144560,Y,Full-time (i),0,120445.0,analyst,sr
job-05f7fd765c4bd9d7,Data Engineer,100000,130000,Y,Full-time,0,115000.0,engineer,unknown
job-060c0f71a5eac4a8,"Intern, Integrated Analytics - Summer 2023",34000,43000,Y,Full-time,1,38500.0,analyst,unknown
job-0676301fe9bfbd9d,Data Engineer,105000,132000,N,Full-time,0,118500.0,engineer,unknown
job-06e65096698ac9c5,(Remote) Data Scientist - Rockefeller Neuroscience Institute,59000,75000,Y,Full-time,0,67000.0,scientist,unknown
job-06e92275f4d550c0,Data Science Intern,0,0,N,Full-time,1,0.0,scientist,unknown
job-07696f51c770dba2,Statistical Analyst (Remote),55000,63000,Y,Full-time,0,59000.0,analyst,unknown
job-0797666d07350dba,Data Science Intern,48000,61000,N,Internship,1,54500.0,scientist,unknown
job-082d8a60f784a790,Data Scientist,101500,145000,N,Full-time,0,123250.0,scientist,unknown
job-08355578b3b5058b,Data Science Engineering Intern,44000,56000,N,Part-time,1,50000.0,engineer,unknown
job-08695ea0b6747b80,"Data Analyst, Global Public Policy",0,0,N,Full-time (i),0,0.0,analyst,unknown
job-089d31b5fc826ce2,Data Scientist and Visualization Developer,110000,140000,N,Full-time,0,125000.0,scientist,unknown
job-08b2dfdc34ef2351,Data Science Analyst,0,0,N,Full-time,0,0.0,analyst,unknown
job-090182c7de816b87,Data Science Intern,42000,53000,N,Internship,1,47500.0,scientist,unknown
job-0918ebf91e47d8fc,Data Engineer,160000,170000,N,Contract,0,165000.0,engineer,unknown
job-094f305c57858a88,Data Scientist,122000,154000,N,Full-time,0,138000.0,scientist,unknown
job-09697effdb4f6086,Data Scientist II - Remote,100000,125000,Y,Full-time (i),0,112500.0,scientist,unknown
job-09c43b4bc220744b,"Machine Learning Intern, Research",0,0,N,Internship,1,0.0,unknown,unknown
job-0a756a1add50eec1,Sales Operations Analyst,48000,61000,Y,Internship,1,54500.0,analyst,unknown
job-0bc449d9c7bf618d,Data Engineer,96900,131100,N,Full-time,0,114000.0,engineer,unknown
job-0bc96cc6a2b24d8e,Data Science/Engineering Intern,70000,88000,N,Full-time (i),1,79000.0,engineer,unknown
job-0cf4f93d3fdf3bfd,"Data Scientist, Growth",160000,255000,N,Full-time (i),0,207500.0,scientist,unknown
job-0d75247d02f8f6cc,Junior Data Scientist - Remote US,71000,90000,Y,Full-time (i),0,80500.0,scientist,jr
job-0d8c028ae9e54edc,Data Scientist,80000,101000,N,Full-time,0,90500.0,scientist,unknown
job-0e1d5967104a888e,2023 Data Science Intern,29000,37000,N,Internship,1,33000.0,scientist,unknown
job-0e2a587c048b2220,Data Engineer,84000,107000,N,Full-time (i),0,95500.0,engineer,unknown
job-0e3dc3765019f381,Data Science/Statistics Intern,0,0,N,Internship,1,0.0,scientist,unknown
job-0ec984e59d3ce730,Data Scientist,104000,132000,Y,Full-time,0,118000.0,scientist,unknown
job-0ee0a329d388a628,Internship 2023 - DFM Operations Intern,35000,44000,N,Internship,1,39500.0,unknown,unknown
job-0f39f4097013f08c,"Data Scientist IV, Utility Reliability - REMOTE",119900,159500,N,Full-time,0,139700.0,scientist,unknown
job-0f5c5e6c57cc4200,Data Science Analyst I or II,63000,80000,N,Full-time,0,71500.0,analyst,unknown
job-1266d610b3f33877,"Experimentation and Causal Inference Intern, Data Science and Engineering",70000,89000,N,Internship,1,79500.0,engineer,unknown
job-1292d743fbc2f949,Data Engineer/Data Scientist,100000,180000,Y,Full-time,0,140000.0,engineer,unknown
job-137db19521390290,Data Science Trainee,0,0,N,Internship,1,0.0,scientist,unknown
job-1486a8364c710044,Data Engineer,77500,103000,Y,Full-time,0,90250.0,engineer,unknown
job-14b0a19ce66d555d,Data Engineer,85000,109000,N,Full-time (i),0,97000.0,engineer,unknown
job-14df9bc1246c5c66,Senior Data Scientist,125000,185000,N,Full-time,0,155000.0,scientist,sr
job-159bef873366f13f,Data Science Analyst (Remote),130000,130000,Y,Full-time (i),0,130000.0,analyst,unknown
job-15b6732e63ee8188,Head of Data Science,190000,260000,Y,Full-time (i),0,225000.0,scientist,unknown
job-16ab7189e6f995cf,Data Engineer,104000,131000,Y,Full-time,0,117500.0,engineer,unknown
job-16cc4416d992d36c,IT Data Science Intern,0,0,N,Full-time,1,0.0,scientist,unknown
job-17465dcacdbf8d67,Jr. Software Engineer,85000,109000,Y,Full-time (i),0,97000.0,engineer,jr
job-175d7a3bd494110f,Research Analyst Intern - Summer 2023,0,0,N,Internship,1,0.0,analyst,unknown
job-176a47d38fffb257,Data Scientist,0,0,N,Full-time,0,0.0,scientist,unknown
job-17bc43b431871b45,Data Analyst,47000,60000,N,Full-time,0,53500.0,analyst,unknown
job-18a754e619e0a423,Data Scientist,98000,125000,N,Full-time,0,111500.0,scientist,unknown
job-18bd709e00fbc35d,Data Scientist,127000,160000,N,Full-time,0,143500.0,scientist,unknown
job-19a9f2a4deb9847c,Data Scientist,108000,136000,Y,Full-time (i),0,122000.0,scientist,unknown
job-1a044f6636826eee,"Data Engineering Intern, Data Science and Engineering",73000,93000,N,Internship,1,83000.0,engineer,unknown
job-1a6820b95c055ffd,"Data Scientist Intern, Analytics",20,50,N,Internship,1,35.0,analyst,unknown
job-1a71dae9eb5d9c70,Data Engineer,106000,134000,Y,Contract,0,120000.0,engineer,unknown
job-1acfc523a7fe4db3,Data Report Specialist | Remote,0,0,Y,Full-time,0,0.0,unknown,unknown
job-1adf265cf6f45232,Data Scientist,130000,164000,Y,Full-time (i),0,147000.0,scientist,unknown
job-1ae2ff28f49416a5,Data Scientist,53000,67000,N,Full-time (i),0,60000.0,scientist,unknown
job-1b2167ae36c95a44,Data Mining Scientist,0,0,Y,Full-time (i),0,0.0,scientist,unknown
job-1b398e573d09e0cb,"Data Engineer, Search Engine Optimization",134000,179500,Y,Full-time (i),0,156750.0,engineer,unknown
job-1b6c11f7e66985e0,Junior Data Scientist (US - East Coast),63000,80000,N,Full-time,0,71500.0,scientist,jr
job-1bd75dfa708037d4,Data Scientists,99000,125000,N,Full-time (i),0,112000.0,scientist,unknown
job-1c971fa15a15e993,Data Engineer,90000,115000,N,Contract,0,102500.0,engineer,unknown
job-1cb5ddaff3d99e8b,"Data Scientist, Viral Genomics",0,0,N,Full-time,0,0.0,scientist,unknown
job-1d187791ab447593,Data Engineer General,72000,91000,N,Contract,0,81500.0,engineer,unknown
job-1d6776cff1a1e69f,Data Analyst - Remote,0,0,N,Full-time,0,0.0,analyst,unknown
job-1d6ea52576020fee,Data Scientist,75000,95000,Y,Full-time (i),0,85000.0,scientist,unknown
job-1dd50198e8aea5f9,"Scientist, Data Science",0,0,N,Full-time (i),0,0.0,scientist,unknown
job-1e69606a89666508,Data Visualization Specialist,72176,108909,Y,Full-time,0,90542.5,unknown,unknown
job-1ecbed9e78564475,2023 AI Research - Internship,0,0,Y,Internship,1,0.0,unknown,unknown
job-1f0af9e4705a18eb,2023 University Graduate - Data Science 1,84000,107000,N,Full-time,0,95500.0,scientist,unknown
job-1f7832ce253836a3,Summer 2023 Data Center GPU Validation Co-Op/ Intern,70000,89000,N,Internship,1,79500.0,unknown,unknown
job-20647dc4afaf4a36,Laboratory Data Scientist,4206,4416,N,Full-time,0,4311.0,scientist,unknown
job-20aaed49d55b16de,Data Scientist I,75000,94000,N,Full-time,0,84500.0,scientist,unknown
job-20d3e043ea23ef18,Data Analyst (Remote),60000,80000,Y,Full-time,0,70000.0,analyst,unknown
job-20df28fa224fe0b6,Senior Data Analyst,115000,250000,Y,Full-time (i),0,182500.0,analyst,sr
job-2125271a37f60153,Research Data Scientist,134000,170000,Y,Full-time (i),0,152000.0,scientist,unknown
job-22409aeaca7a375b,Data Scientist,130000,300000,Y,Full-time (i),0,215000.0,scientist,unknown
job-227657f7f2463141,"Associate Data Scientist, 2023 Graduate",80000,101000,N,Full-time,0,90500.0,scientist,jr
job-228fe572936c3240,Machine Learning Intern (Summer 2023),11000,11000,Y,Internship,1,11000.0,unknown,unknown
job-22f2dfdeaa51ac84,Scientist I - Neurophysiology Data Analysis,0,0,N,Full-time (i),0,0.0,analyst,unknown
job-2331eec5e4e44055,Data Scientist (Remote),106000,134000,Y,Full-time,0,120000.0,scientist,unknown
job-233493435dd70c94,Data Scientist (1386547),116000,147000,N,Full-time (i),0,131500.0,scientist,unknown
job-23eaf853901b8974,Data Science & Analytics Development Program 2023a,80000,102000,N,Full-time (i),0,91000.0,analyst,unknown
job-240f16f900b54f70,"Research Intern, AI (Spring/Summer 2023)",0,0,Y,Internship,1,0.0,unknown,unknown
job-241407ac3f3b31d6,Data Science Intern,60000,75000,N,Internship,1,67500.0,scientist,unknown
job-24be0ae969ecb040,Data Engineer I,37,37,Y,Full-time,0,37.0,engineer,unknown
job-259055e87f13965c,"Data Engineer, 1",134000,164000,N,Full-time,0,149000.0,engineer,unknown
job-260b91c2b4825639,Data Scientist,84000,107000,N,Full-time,0,95500.0,scientist,unknown
job-264fe6de0d004f5d,Data Scientist,74000,94000,N,Full-time (i),0,84000.0,scientist,unknown
job-266351fa2c92d811,Data Scientist,99595,129472,Y,Full-time,0,114533.5,scientist,unknown
job-266dae378e31712d,Data Analyst,63000,80000,Y,Full-time,0,71500.0,analyst,unknown
job-280e08ef04cb7740,Data Scientist,90000,115000,Y,Full-time,0,102500.0,scientist,unknown
job-2904db10639ec9c3,R&I Data Science & Sustainability Internship - 12 Months,44000,56000,N,Full-time,1,50000.0,scientist,unknown
job-2a15ae67684a6dde,Data Analyst,78000,99000,Y,Full-time,0,88500.0,analyst,unknown
job-2a1e68cf23e75808,Data Scientist,0,0,N,Full-time (i),0,0.0,scientist,unknown
job-2b4f6660895f9574,Data Analyst,80000,110000,N,Full-time,0,95000.0,analyst,unknown
job-2b7f43aae2c37421,"Data Scientist, Risk",117000,148000,N,Full-time (i),0,132500.0,scientist,unknown
job-2c189f217200e1c2,"Junior Researcher, Data Science",69000,87000,N,Full-time (i),0,78000.0,scientist,jr
job-2c1ed3624830359b,Research Data Science Intern,66000,84000,N,Internship,1,75000.0,scientist,unknown
job-2d83cf3dae2ab1df,Analytics Summer 2023 Intern,0,0,N,Full-time,1,0.0,analyst,unknown
job-2e1411eb5f7eb4f4,Data Scientist - Intern,20,25,N,Full-time,1,22.5,scientist,unknown
job-2e68f94e4620164d,Data Engineer - ETL,94000,120000,N,Full-time,0,107000.0,engineer,unknown
job-2ebc0a1b1b589f8a,Data Scientist,80000,80000,N,Full-time,0,80000.0,scientist,unknown
job-2ec9615060a9a5c2,Data Scientist / Quantitative Analyst,0,0,N,Full-time,0,0.0,analyst,unknown
job-2ef2433a09309f54,Data Scientist,93000,118000,N,Full-time,0,105500.0,scientist,unknown
job-2f18ae87825483ca,Data Science Intern,43000,54000,N,Internship,1,48500.0,scientist,unknown
job-2f7577d331547bec,Associate Machine Learning Engineer (Remote),73000,92000,Y,Full-time,0,82500.0,engineer,jr
job-3052cab2ca9408ad,"Data Scientist I, Risk Analytics",115360,151410,Y,Full-time (i),0,133385.0,analyst,unknown
job-30ae6c0eb6c2fb40,Technology Intern- Technology Summer Internship Program,75000,90000,N,Internship,1,82500.0,unknown,unknown
job-30c2bfb3dabbd1df,Data Scientist,100984,131277,Y,Full-time (i),0,116130.5,scientist,unknown
job-30e9be7bbe9eb3ed,Data Engineer,0,0,N,Full-time (i),0,0.0,engineer,unknown
job-30f80792440292e7,"Senior Associate, Data Science (R-13261)",73000,92000,Y,Full-time,0,82500.0,scientist,jr
job-319710555117dbdc,Data Analyst,19,26,Y,Internship,1,22.5,analyst,unknown
job-31f050977b6b88e7,Director - Data Science,133000,168000,N,Full-time,0,150500.0,scientist,unknown
job-3239a1fa7c5a474b,Junior Data Scientist,81000,103000,N,Contract,0,92000.0,scientist,jr
job-332bb4ffd55ade85,Data Analytics Manager (Remote),210000,210000,Y,Full-time (i),0,210000.0,analyst,unknown
job-3366271063a2aadc,Data Scientist,105000,133000,Y,Full-time,0,119000.0,scientist,unknown
job-33a5380c2fb99063,Data Scientist | Remote-US,91000,116000,Y,Full-time,0,103500.0,scientist,unknown
job-33a89a95b75ac898,Data Scientist Intern,39000,50000,N,Full-time,1,44500.0,scientist,unknown
job-340580918cebc59a,Principal Data Scientist,138000,174000,N,Full-time,0,156000.0,scientist,unknown
job-34168de0afe6d03b,"Data Engineer L5, Playback",127000,161000,N,Full-time (i),0,144000.0,engineer,unknown
job-3438b193c2839efd,"Data Engineer, Omaha",131000,166000,N,Full-time (i),0,148500.0,engineer,unknown
job-344460511542411d,Senior Data Engineer (Remote),109000,138000,Y,Full-time,0,123500.0,engineer,sr
job-3595d063e3084b41,Network Data Scientist,130000,180000,Y,Full-time (i),0,155000.0,scientist,unknown
job-35fb9c810e340ea8,"2023 Summer (May- Aug) Intern, Data Science",40000,50000,N,Full-time,1,45000.0,scientist,unknown
job-36b1de947c1b6ef3,"(Senior) Data Scientist, Clinical & Genomics",0,0,Y,Full-time (i),0,0.0,scientist,sr
job-375f10c6aa43360e,Senior Data Scientist,121000,153000,Y,Full-time,0,137000.0,scientist,sr
job-376e51fb0cf6188a,Fuse Data Science & Engineering Internship (Summer 2023),0,0,N,Full-time,1,0.0,engineer,unknown
job-378637ce972ec692,Data Scientist,120000,180000,Y,Full-time,0,150000.0,scientist,unknown
job-380e4480b1f38d63,Data Center Specialist,30000,58000,N,Full-time,0,44000.0,unknown,unknown
job-3837064918d4e5fb,Data Scientist Intern,48000,60000,N,Internship,1,54000.0,scientist,unknown
job-386968bf9bffd7f3,Senior Data Engineer,0,0,N,Full-time (i),0,0.0,engineer,sr
job-38ae3e9b8611137d,Data Scientist,80000,80000,Y,Full-time,0,80000.0,scientist,unknown
job-38c285cf84dd086e,Senior Data Scientist (Remote),96000,220000,Y,Full-time (i),0,158000.0,scientist,sr
job-394cdda7ee2e601a,Data Science Intern (Spring),41000,52000,Y,Internship,1,46500.0,scientist,unknown
job-395bd650cdb99f1c,Applied Scientist 1,0,0,Y,Full-time (i),0,0.0,scientist,unknown
job-3a1eb2d5f9f0a093,Data Engineer,93000,119000,N,Full-time,0,106000.0,engineer,unknown
job-3ac8374fbb32a5bb,Data Scientist,122000,154000,Y,Full-time (i),0,138000.0,scientist,unknown
job-3adea9dfd9f4a9cd,Data Engineer,0,0,N,Full-time (i),0,0.0,engineer,unknown
job-3aecd3e9a13bbdb2,Data Scientist,92000,117000,N,Full-time,0,104500.0,scientist,unknown
job-3af02d93417e951c,Junior Data Scientist,55000,60000,Y,Internship,1,57500.0,scientist,jr
job-3bf03330105afbbe,Data Engineer,110000,110000,N,Full-time,0,110000.0,engineer,unknown
job-3c1a8f0015f73188,Data Analytics Intern,37000,47000,N,Full-time,1,42000.0,analyst,unknown
job-3cec83dc45f5811a,Data Scientist II,81000,104000,N,Full-time,0,92500.0,scientist,unknown
job-3d002937d72cdd24,Data Scientist,127000,161000,N,Contract,0,144000.0,scientist,unknown
job-3d91424591cbbf79,Associate PL/SQL Data Engineer (REMOTE),50000,70000,Y,Full-time,0,60000.0,engineer,jr
job-3e3d92e9d69da663,Data Science Engineer,82000,105000,N,Full-time,0,93500.0,engineer,unknown
job-3e417767f39f88ea,Human Resources Data Analyst,71000,90000,Y,Full-time (i),0,80500.0,analyst,unknown
job-3e8e7d8db670dc1a,Data Science Intern,70,75,N,Full-time,1,72.5,scientist,unknown
job-3f48c7f7af2fc151,Product Data Scientist,74000,94000,Y,Full-time,0,84000.0,scientist,unknown
job-3fdc097d907cb412,Data Scientist,76000,97000,N,Full-time,0,86500.0,scientist,unknown
job-3fe6f55c69579156,Data Engineer I,71000,90000,Y,Full-time,0,80500.0,engineer,unknown
job-4056f93fad9049d5,Data Scientist,135000,170000,Y,Full-time,0,152500.0,scientist,unknown
job-41907f74de9bc1ed,Data Scientist,75000,85000,N,Full-time,0,80000.0,scientist,unknown
job-42a78e91d010b05d,Data Science Graduate,104000,131000,N,Full-time,0,117500.0,scientist,unknown
job-43087b7ed6a1a3b8,Data Scientist,109000,138000,Y,Full-time (i),0,123500.0,scientist,unknown
job-4333d4e5f4a5b265,Data Scientist Associate 1,0,0,N,Full-time (i),0,0.0,scientist,jr
job-4395b81e0521fcef,Software Engineering Intern (Machine Learning Sys) - 2023 Summer (BS/MS),67000,85000,N,Internship,1,76000.0,engineer,unknown
job-44148c70c1a0ea67,Data Scientist,110000,120000,N,Full-time,0,115000.0,scientist,unknown
job-4484d7039ddfc55e,Data Scientist,90000,115000,N,Full-time (i),0,102500.0,scientist,unknown
job-45b5e683f10fab56,Data Center Engineer,90000,115000,N,Full-time (i),0,102500.0,engineer,unknown
job-45fd76fcba13722c,"Senior Software Engineer, Data Infra",106000,134000,N,Full-time,0,120000.0,engineer,sr
job-47a1ecd2c7c33537,Data Analyst (Remote),69000,88000,Y,Full-time,0,78500.0,analyst,unknown
job-47fb933602ef3be4,Data Science Intern,39000,49000,N,Internship,1,44000.0,scientist,unknown
job-4823d05ce00f9881,Data Analyst,0,0,N,Full-time (i),0,0.0,analyst,unknown
job-48f7a92af23648f4,Data Scientist I,0,0,N,Full-time (i),0,0.0,scientist,unknown
job-49a72189df661f83,Lead Engineer - Data,112000,196000,Y,Full-time (i),0,154000.0,engineer,unknown
job-4ab9b226a05c93da,Remote Customer Technical Support Specialist,18,24,Y,Full-time,0,21.0,unknown,unknown
job-4ac87d68765ad235,data scientist sr- People Analytics (Remote),109000,205600,Y,Full-time,0,157300.0,analyst,sr
job-4b405b37395c9e3d,Data Analyst,53600,53600,Y,Full-time,0,53600.0,analyst,unknown
job-4b6a8f04d7079151,Data Scientist,80000,102000,N,Full-time (i),0,91000.0,scientist,unknown
job-4bb9b8fb0f45b6bf,Data Science Intern - Summer 2023,32000,40000,N,Full-time,1,36000.0,scientist,unknown
job-4bfb7e005e74b801,Data Scientist,96000,123000,N,Full-time,0,109500.0,scientist,unknown
job-4c0d9395ce3542ca,"Staff Data Scientist, Guest & Host",180000,245000,Y,Full-time (i),0,212500.0,scientist,unknown
job-4cedb157a4815968,Data Engineer,100000,127000,Y,Full-time,0,113500.0,engineer,unknown
job-4d9c7104fe8f3182,Data Scientist,130000,159000,Y,Full-time (i),0,144500.0,scientist,unknown
job-4de70f520ccfc077,2023 Entry Level Associate Data Engineer,43280,59510,N,Full-time,0,51395.0,engineer,jr
job-4df6e4c7297a4f54,Machine Learning & Modeling Co-op,37000,48000,N,Full-time,1,42500.0,unknown,unknown
job-4df9eab753fc82ce,"Data Scientist (Deep Learning, ML, NLP)",154000,195000,Y,Full-time (i),0,174500.0,engineer,unknown
job-4dff94f1d654a00c,Credit Research Analyst - Expert Summer Intern Programme - 2023,110000,110000,N,Internship,1,110000.0,analyst,unknown
job-4e36abb4c8802708,"Data Scientist, Baseball Research & Development",105000,133000,Y,Full-time (i),0,119000.0,scientist,unknown
job-4e4f60f7011d7535,Data Science Intern | Data Science Team,15,15,Y,Internship,1,15.0,scientist,unknown
job-4fbc17578ef9deb3,2023 Entry Level Associate Data Engineer: Advanced Analytics,47600,65450,N,Full-time,0,56525.0,analyst,jr
job-4fcc331f991d0b4d,Data Scientist & Statistician,0,0,N,Full-time,0,0.0,scientist,unknown
job-4ffe847b64625669,Data Science Intern - Summer 2023,50000,64000,N,Internship,1,57000.0,scientist,unknown
job-50387d446166e1d0,ArborCount Data Technician,57000,72000,Y,Full-time (i),0,64500.0,unknown,unknown
job-5062462d0a68c093,Data Scientist,0,0,N,Full-time,0,0.0,scientist,unknown
job-50bda7b9d0d3a40b,Data Scientist,101000,127000,N,Full-time (i),0,114000.0,scientist,unknown
job-50f4e61f49824e55,Koch Minerals & Trading Data Scientist Intern – Summer 2023,0,0,N,Full-time,1,0.0,scientist,unknown
job-50fc6373c08e9d19,Data Labeler,82000,105000,N,Full-time (i),0,93500.0,unknown,unknown
job-517757c5ec64f8d3,"ENGINEER, DATA",99583,115484,N,Full-time,0,107533.5,engineer,unknown
job-51a9496d787b39c0,Biomedical Data Scientist - Health Technologies,0,0,N,Full-time,0,0.0,scientist,unknown
job-530460f870702843,Data Analyst,80000,102000,Y,Full-time,0,91000.0,analyst,unknown
job-531423f49f143100,Crime Analyst / Intelligence Analyst,0,0,N,Full-time (i),0,0.0,analyst,unknown
job-531b5517998bb48e,Intern - Data Engineer (Spring 2023),47000,59000,N,Part-time,1,53000.0,engineer,unknown
job-53567abfbe7b88f8,Data Engineer,99400,99400,N,Full-time,0,99400.0,engineer,unknown
job-5380c423310a0508,Co-op / Intern - Data Science,0,0,N,Full-time,1,0.0,scientist,unknown
